dataset,model,optimizer,seed,corruption,accuracy
cifar100,resnet18,asam,44,gaussian_noise,0.2595
cifar100,resnet18,asam,44,shot_noise,0.34453999999999996
cifar100,resnet18,asam,44,impulse_noise,0.30876000000000003
cifar100,resnet18,asam,44,defocus_blur,0.62852
cifar100,resnet18,asam,44,glass_blur,0.26336
cifar100,resnet18,asam,44,motion_blur,0.57198
cifar100,resnet18,asam,44,zoom_blur,0.56524
cifar100,resnet18,asam,44,snow,0.57562
cifar100,resnet18,asam,44,frost,0.51938
cifar100,resnet18,asam,44,fog,0.65542
cifar100,resnet18,asam,44,brightness,0.7536799999999999
cifar100,resnet18,asam,44,contrast,0.5515800000000001
cifar100,resnet18,asam,44,elastic_transform,0.63604
cifar100,resnet18,asam,44,pixelate,0.54974
cifar100,resnet18,asam,44,jpeg_compression,0.57128
cifar10,resnet34,sgd,42,gaussian_noise,0.5175
cifar10,resnet34,sgd,42,shot_noise,0.63144
cifar10,resnet34,sgd,42,impulse_noise,0.5877
cifar10,resnet34,sgd,42,defocus_blur,0.83094
cifar10,resnet34,sgd,42,glass_blur,0.5655
cifar10,resnet34,sgd,42,motion_blur,0.78666
cifar10,resnet34,sgd,42,zoom_blur,0.7798
cifar10,resnet34,sgd,42,snow,0.82818
cifar10,resnet34,sgd,42,frost,0.79416
cifar10,resnet34,sgd,42,fog,0.89036
cifar10,resnet34,sgd,42,brightness,0.9389800000000001
cifar10,resnet34,sgd,42,contrast,0.78
cifar10,resnet34,sgd,42,elastic_transform,0.8553000000000001
cifar10,resnet34,sgd,42,pixelate,0.7537200000000001
cifar10,resnet34,sgd,42,jpeg_compression,0.81046
cifar10,resnet34,sgd,43,gaussian_noise,0.50396
cifar10,resnet34,sgd,43,shot_noise,0.6248
cifar10,resnet34,sgd,43,impulse_noise,0.5865400000000001
cifar10,resnet34,sgd,43,defocus_blur,0.82896
cifar10,resnet34,sgd,43,glass_blur,0.56454
cifar10,resnet34,sgd,43,motion_blur,0.7959400000000001
cifar10,resnet34,sgd,43,zoom_blur,0.78334
cifar10,resnet34,sgd,43,snow,0.836
cifar10,resnet34,sgd,43,frost,0.7960200000000001
cifar10,resnet34,sgd,43,fog,0.88516
cifar10,resnet34,sgd,43,brightness,0.9375
cifar10,resnet34,sgd,43,contrast,0.78164
cifar10,resnet34,sgd,43,elastic_transform,0.8507
cifar10,resnet34,sgd,43,pixelate,0.76482
cifar10,resnet34,sgd,43,jpeg_compression,0.8027599999999999
cifar10,resnet34,sgd,44,gaussian_noise,0.48548
cifar10,resnet34,sgd,44,shot_noise,0.6133200000000001
cifar10,resnet34,sgd,44,impulse_noise,0.53498
cifar10,resnet34,sgd,44,defocus_blur,0.8324
cifar10,resnet34,sgd,44,glass_blur,0.54992
cifar10,resnet34,sgd,44,motion_blur,0.78978
cifar10,resnet34,sgd,44,zoom_blur,0.77782
cifar10,resnet34,sgd,44,snow,0.8302400000000001
cifar10,resnet34,sgd,44,frost,0.77962
cifar10,resnet34,sgd,44,fog,0.88802
cifar10,resnet34,sgd,44,brightness,0.94048
cifar10,resnet34,sgd,44,contrast,0.7652599999999999
cifar10,resnet34,sgd,44,elastic_transform,0.85146
cifar10,resnet34,sgd,44,pixelate,0.75102
cifar10,resnet34,sgd,44,jpeg_compression,0.79852
cifar10,resnet34,sam,42,gaussian_noise,0.45098000000000005
cifar10,resnet34,sam,42,shot_noise,0.5823400000000001
cifar10,resnet34,sam,42,impulse_noise,0.5467
cifar10,resnet34,sam,42,defocus_blur,0.8577999999999999
cifar10,resnet34,sam,42,glass_blur,0.57844
cifar10,resnet34,sam,42,motion_blur,0.8150600000000001
cifar10,resnet34,sam,42,zoom_blur,0.81654
cifar10,resnet34,sam,42,snow,0.8446200000000001
cifar10,resnet34,sam,42,frost,0.80534
cifar10,resnet34,sam,42,fog,0.8985799999999999
cifar10,resnet34,sam,42,brightness,0.94392
cifar10,resnet34,sam,42,contrast,0.8031600000000001
cifar10,resnet34,sam,42,elastic_transform,0.87196
cifar10,resnet34,sam,42,pixelate,0.7666999999999999
cifar10,resnet34,sam,42,jpeg_compression,0.8166399999999999
cifar10,resnet34,sam,43,gaussian_noise,0.52586
cifar10,resnet34,sam,43,shot_noise,0.64006
cifar10,resnet34,sam,43,impulse_noise,0.59036
cifar10,resnet34,sam,43,defocus_blur,0.84458
cifar10,resnet34,sam,43,glass_blur,0.60578
cifar10,resnet34,sam,43,motion_blur,0.8109400000000001
cifar10,resnet34,sam,43,zoom_blur,0.80244
cifar10,resnet34,sam,43,snow,0.8446
cifar10,resnet34,sam,43,frost,0.81228
cifar10,resnet34,sam,43,fog,0.9003399999999999
cifar10,resnet34,sam,43,brightness,0.94338
cifar10,resnet34,sam,43,contrast,0.7905
cifar10,resnet34,sam,43,elastic_transform,0.87296
cifar10,resnet34,sam,43,pixelate,0.76772
cifar10,resnet34,sam,43,jpeg_compression,0.8331199999999999
cifar10,resnet34,sam,44,gaussian_noise,0.47788
cifar10,resnet34,sam,44,shot_noise,0.6112599999999999
cifar10,resnet34,sam,44,impulse_noise,0.5504
cifar10,resnet34,sam,44,defocus_blur,0.8416399999999999
cifar10,resnet34,sam,44,glass_blur,0.5791000000000001
cifar10,resnet34,sam,44,motion_blur,0.80284
cifar10,resnet34,sam,44,zoom_blur,0.7950600000000001
cifar10,resnet34,sam,44,snow,0.8418800000000001
cifar10,resnet34,sam,44,frost,0.80346
cifar10,resnet34,sam,44,fog,0.8940400000000001
cifar10,resnet34,sam,44,brightness,0.9478200000000001
cifar10,resnet34,sam,44,contrast,0.794
cifar10,resnet34,sam,44,elastic_transform,0.86036
cifar10,resnet34,sam,44,pixelate,0.73912
cifar10,resnet34,sam,44,jpeg_compression,0.8066599999999999
cifar10,resnet34,asam,42,gaussian_noise,0.5589000000000001
cifar10,resnet34,asam,42,shot_noise,0.6689
cifar10,resnet34,asam,42,impulse_noise,0.61794
cifar10,resnet34,asam,42,defocus_blur,0.88418
cifar10,resnet34,asam,42,glass_blur,0.5989
cifar10,resnet34,asam,42,motion_blur,0.8522000000000001
cifar10,resnet34,asam,42,zoom_blur,0.8418800000000001
cifar10,resnet34,asam,42,snow,0.8688800000000001
cifar10,resnet34,asam,42,frost,0.8390599999999999
cifar10,resnet34,asam,42,fog,0.9224399999999999
cifar10,resnet34,asam,42,brightness,0.95082
cifar10,resnet34,asam,42,contrast,0.8454599999999999
cifar10,resnet34,asam,42,elastic_transform,0.8859400000000001
cifar10,resnet34,asam,42,pixelate,0.7985200000000001
cifar10,resnet34,asam,42,jpeg_compression,0.83776
cifar10,resnet34,asam,43,gaussian_noise,0.5095799999999999
cifar10,resnet34,asam,43,shot_noise,0.6372
cifar10,resnet34,asam,43,impulse_noise,0.60634
cifar10,resnet34,asam,43,defocus_blur,0.85716
cifar10,resnet34,asam,43,glass_blur,0.59092
cifar10,resnet34,asam,43,motion_blur,0.8286200000000001
cifar10,resnet34,asam,43,zoom_blur,0.8099000000000001
cifar10,resnet34,asam,43,snow,0.8596
cifar10,resnet34,asam,43,frost,0.82218
cifar10,resnet34,asam,43,fog,0.9148400000000001
cifar10,resnet34,asam,43,brightness,0.95292
cifar10,resnet34,asam,43,contrast,0.81728
cifar10,resnet34,asam,43,elastic_transform,0.8798
cifar10,resnet34,asam,43,pixelate,0.78704
cifar10,resnet34,asam,43,jpeg_compression,0.83646
cifar10,resnet34,asam,44,gaussian_noise,0.5358799999999999
cifar10,resnet34,asam,44,shot_noise,0.65534
cifar10,resnet34,asam,44,impulse_noise,0.62268
cifar10,resnet34,asam,44,defocus_blur,0.8757400000000001
cifar10,resnet34,asam,44,glass_blur,0.58902
cifar10,resnet34,asam,44,motion_blur,0.8344799999999999
cifar10,resnet34,asam,44,zoom_blur,0.83636
cifar10,resnet34,asam,44,snow,0.8502000000000001
cifar10,resnet34,asam,44,frost,0.8199799999999999
cifar10,resnet34,asam,44,fog,0.9070199999999999
cifar10,resnet34,asam,44,brightness,0.9496800000000001
cifar10,resnet34,asam,44,contrast,0.8093600000000001
cifar10,resnet34,asam,44,elastic_transform,0.8823399999999999
cifar10,resnet34,asam,44,pixelate,0.76824
cifar10,resnet34,asam,44,jpeg_compression,0.8321400000000001
