dataset,model,optimizer,seed,rank,normalized_positive_mass
cifar100,resnet18,sam,44,8,0.04104583873627909
cifar100,resnet18,sam,44,9,0.04070920413928306
cifar100,resnet18,sam,44,10,0.03768159093080734
cifar100,resnet18,sam,44,11,0.03497606186650354
cifar100,resnet18,sam,44,12,0.03200819230231961
cifar100,resnet18,sam,44,13,0.027990455271715686
cifar100,resnet18,sam,44,14,0.026507145170414623
cifar100,resnet18,sam,44,15,0.024275111429462714
cifar100,resnet18,sam,44,16,0.020037865065878218
cifar100,resnet18,sam,44,17,0.018225198773030284
cifar100,resnet18,sam,44,18,0.014759364836906479
cifar100,resnet18,sam,44,19,0.012764856826961676
cifar100,resnet18,sam,44,20,0.009654428112413307
cifar100,resnet18,asam,42,1,0.1566149386261523
cifar100,resnet18,asam,42,2,0.15410181073695875
cifar100,resnet18,asam,42,3,0.09642640619370846
cifar100,resnet18,asam,42,4,0.08249512136448421
cifar100,resnet18,asam,42,5,0.0665182534681065
cifar100,resnet18,asam,42,6,0.05900878944168061
cifar100,resnet18,asam,42,7,0.0543821517992375
cifar100,resnet18,asam,42,8,0.04981456064836149
cifar100,resnet18,asam,42,9,0.04590453077995438
cifar100,resnet18,asam,42,10,0.04328335348738709
cifar100,resnet18,asam,42,11,0.03828222073160964
cifar100,resnet18,asam,42,12,0.03354932332880009
cifar100,resnet18,asam,42,13,0.03035914745451036
cifar100,resnet18,asam,42,14,0.026543928791399402
cifar100,resnet18,asam,42,15,0.0223185394315452
cifar100,resnet18,asam,42,16,0.016658334868925723
cifar100,resnet18,asam,42,17,0.012819378221469613
cifar100,resnet18,asam,42,18,0.007469896614498173
cifar100,resnet18,asam,42,19,0.003436225107335432
cifar100,resnet18,asam,42,20,1.3088903875087415e-05
cifar100,resnet18,asam,43,1,0.09762821338468804
cifar100,resnet18,asam,43,2,0.09185198613044983
cifar100,resnet18,asam,43,3,0.08393326832145558
cifar100,resnet18,asam,43,4,0.07694993924748782
cifar100,resnet18,asam,43,5,0.07304390397672363
cifar100,resnet18,asam,43,6,0.06581264794957543
cifar100,resnet18,asam,43,7,0.06145292563415013
cifar100,resnet18,asam,43,8,0.06059330122804864
cifar100,resnet18,asam,43,9,0.05485178918814107
cifar100,resnet18,asam,43,10,0.05204181436329514
cifar100,resnet18,asam,43,11,0.04808098287134174
cifar100,resnet18,asam,43,12,0.044605295021157565
cifar100,resnet18,asam,43,13,0.040861779588112795
cifar100,resnet18,asam,43,14,0.03332163207849504
cifar100,resnet18,asam,43,15,0.030501216076323605
cifar100,resnet18,asam,43,16,0.024620334574590508
cifar100,resnet18,asam,43,17,0.021563191267814235
cifar100,resnet18,asam,43,18,0.01669794121096142
cifar100,resnet18,asam,43,19,0.013006270910187441
cifar100,resnet18,asam,43,20,0.008581566977000379
cifar100,resnet18,asam,44,1,0.11441210571988325
cifar100,resnet18,asam,44,2,0.09861348248668074
cifar100,resnet18,asam,44,3,0.0957571123613686
cifar100,resnet18,asam,44,4,0.08332631538541578
cifar100,resnet18,asam,44,5,0.07008855136891272
cifar100,resnet18,asam,44,6,0.05997421520650204
cifar100,resnet18,asam,44,7,0.055763933334472306
cifar100,resnet18,asam,44,8,0.054887698089015016
cifar100,resnet18,asam,44,9,0.04918801591989493
cifar100,resnet18,asam,44,10,0.0459755915438727
cifar100,resnet18,asam,44,11,0.04353340409398315
cifar100,resnet18,asam,44,12,0.040477219030217
cifar100,resnet18,asam,44,13,0.03706051747424238
cifar100,resnet18,asam,44,14,0.031994344575086986
cifar100,resnet18,asam,44,15,0.02988025724654265
cifar100,resnet18,asam,44,16,0.02503556051052892
cifar100,resnet18,asam,44,17,0.021241209207754755
cifar100,resnet18,asam,44,18,0.01802240794051322
cifar100,resnet18,asam,44,19,0.01432846315743369
cifar100,resnet18,asam,44,20,0.010439595347679185
cifar10,resnet34,sgd,42,1,0.33867193463368295
cifar10,resnet34,sgd,42,2,0.2563294017573118
cifar10,resnet34,sgd,42,3,0.06759833037081675
cifar10,resnet34,sgd,42,4,0.06305542998110376
cifar10,resnet34,sgd,42,5,0.04256512435962025
cifar10,resnet34,sgd,42,6,0.040286662108170265
cifar10,resnet34,sgd,42,7,0.03138109980383632
cifar10,resnet34,sgd,42,8,0.023534347610512412
cifar10,resnet34,sgd,42,9,0.0205983872914172
cifar10,resnet34,sgd,42,10,0.017663547947355644
cifar10,resnet34,sgd,42,11,0.017199207890196983
cifar10,resnet34,sgd,42,12,0.015537481655467639
cifar10,resnet34,sgd,42,13,0.013116315704653561
cifar10,resnet34,sgd,42,14,0.012178740086994039
cifar10,resnet34,sgd,42,15,0.010370710213131625
cifar10,resnet34,sgd,42,16,0.009669441200804613
cifar10,resnet34,sgd,42,17,0.006899817477594175
cifar10,resnet34,sgd,42,18,0.005997438538135624
cifar10,resnet34,sgd,42,19,0.004404331031114647
cifar10,resnet34,sgd,42,20,0.002942250338079763
cifar10,resnet34,sgd,43,1,0.7719692782447601
cifar10,resnet34,sgd,43,2,0.036398776936269694
cifar10,resnet34,sgd,43,3,0.03390193314745538
cifar10,resnet34,sgd,43,4,0.02734780022401916
cifar10,resnet34,sgd,43,5,0.021973936535469897
cifar10,resnet34,sgd,43,6,0.016054241215606915
cifar10,resnet34,sgd,43,7,0.014541057153873464
cifar10,resnet34,sgd,43,8,0.01258786934602592
cifar10,resnet34,sgd,43,9,0.012211896071032463
cifar10,resnet34,sgd,43,10,0.010402367170424098
cifar10,resnet34,sgd,43,11,0.009509682436726102
cifar10,resnet34,sgd,43,12,0.00892770330051155
cifar10,resnet34,sgd,43,13,0.0075232550172173425
cifar10,resnet34,sgd,43,14,0.0061114558950718925
cifar10,resnet34,sgd,43,15,0.004580834554841674
cifar10,resnet34,sgd,43,16,0.0032820503414566424
cifar10,resnet34,sgd,43,17,0.0019343914352208161
cifar10,resnet34,sgd,43,18,0.0007411189893473055
cifar10,resnet34,sgd,43,19,3.51984669608175e-07
cifar10,resnet34,sgd,44,1,0.29985412169074693
cifar10,resnet34,sgd,44,2,0.13127854732135652
cifar10,resnet34,sgd,44,3,0.09818543786809146
cifar10,resnet34,sgd,44,4,0.07388007966370794
cifar10,resnet34,sgd,44,5,0.061441141390556536
cifar10,resnet34,sgd,44,6,0.05021730106328438
cifar10,resnet34,sgd,44,7,0.03868011840119584
cifar10,resnet34,sgd,44,8,0.03283505782564156
cifar10,resnet34,sgd,44,9,0.030773164852847475
cifar10,resnet34,sgd,44,10,0.029357129834646733
cifar10,resnet34,sgd,44,11,0.026583333052749174
cifar10,resnet34,sgd,44,12,0.022722570191727035
cifar10,resnet34,sgd,44,13,0.020242481594840475
cifar10,resnet34,sgd,44,14,0.018826371400104767
cifar10,resnet34,sgd,44,15,0.016056124258075472
cifar10,resnet34,sgd,44,16,0.015267043564469845
